Major	Subtype
B.cells_find.markers.1.union.group.14_classifier	none
Plasma.cells_find.markers.1.group.19_classifier	none
AML_find.markers.1.union.group.0.1.3.4.7.8.9.11.17.18_classifier	HSC.Prog.putativeAML_bone.marrow_VanGalen19,AML.HSC.Prog.like_aml_VanGalen19,GMP.putativeAML_bone.marrow_VanGalen19,AML.GMP.like_aml_VanGalen19,Myeloid.putativeAML_bone.marrow_VanGalen19,AML.Myeloid.like_aml_VanGalen19
T.cells_find.markers.1.union.group.2.5.6.10.13_classifier	T.cells.CD8_normal_Newman15,T.cells.CD4.naive_normal_Newman15,NK.cells.resting_normal_Newman15,NK.cells.activated_normal_Newman15
Erythroid.cells_find.markers.1.group.12.15_classifier	none
Plasmacytoid.dendritic.cell_melanoma_classifier	none
